report_id,file,rVSM_similarity,collab_filter,classname_similarity,bug_recency,bug_frequency,match
1,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java,0.03041932,0.088848106,0,0.125,11,1
1,org.aspectj.ajdt.core/src/org/aspectj/ajdt/ajc/BuildArgParser.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/NewMethodTypeMunger.java,0,0.088848106,0,0.125,11,0
1,weaver5/java5-src/org/aspectj/weaver/tools/Jdk14Trace.java,0,0.088848106,0,0.125,11,0
1,bcel-builder/testsrc/org/aspectj/apache/bcel/classfile/tests/AllTests.java,0,0.088848106,0,0.125,11,0
1,bcel-builder/src/org/aspectj/apache/bcel/generic/MethodGen.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.matcher/src/org/aspectj/weaver/TypeVariable.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/reflect/ReflectionVar.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AsmHierarchyBuilder.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.matcher/src/org/aspectj/weaver/Dump.java,0,0.088848106,0,0.125,11,0
1,ajde/src/org/aspectj/ajde/internal/CompilerAdapter.java,0,0.088848106,0,0.125,11,0
1,aspectj5rt/java5-src/org/aspectj/internal/lang/reflect/PointcutImpl.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/testsrc/org/aspectj/tools/ajc/AjASTTest.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/bcel/BcelTypeMunger.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/tools/cache/WeavedClassCache.java,0,0.088848106,0,0.125,11,0
1,ajde/testsrc/org/aspectj/ajde/OutxmlTest.java,0,0.088848106,0,0.125,11,0
1,asm/src/org/aspectj/asm/internal/ProgramElement.java,0,0.088848106,0,0.125,11,0
1,ajdoc/testsrc/org/aspectj/tools/ajdoc/PointcutVisibilityTest.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/tools/PointcutExpression.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/src/org/aspectj/org/eclipse/jdt/core/dom/AjTypeDeclaration.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/CrosscuttingMembersSet.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/src/org/aspectj/tools/ajc/Main.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/Lint.java,0,0.088848106,0,0.125,11,0
1,tests/src/org/aspectj/systemtest/ajc153/Ajc153Tests.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/bcel/LocalVariableTag.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/compiler/AjPipeliningCompilerAdapter.java,0,0.088848106,0,0.125,11,0
1,ajdoc/src/org/aspectj/tools/ajdoc/JavadocRunner.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/AsmRelationshipProvider.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/testsrc/org/aspectj/ajdt/internal/core/builder/OutjarTest.java,0,0.088848106,0,0.125,11,0
1,tests/src/org/aspectj/systemtest/ajc1612/Ajc1612Tests.java,0,0.088848106,0,0.125,11,0
1,weaver5/java5-testsrc/org/aspectj/weaver/tools/Java15PointcutExpressionTest.java,0,0.088848106,0,0.125,11,0
1,util/src/org/aspectj/util/ConfigParser.java,0,0.088848106,0,0.125,11,0
1,aspectj5rt/java5-src/org/aspectj/internal/lang/reflect/InterTypeMethodDeclarationImpl.java,0,0.088848106,0,0.125,11,0
1,asm/src/org/aspectj/asm/IProgramElement.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/patterns/ExactTypePattern.java,0,0.088848106,0,0.125,11,0
1,tests/src/org/aspectj/systemtest/ajc150/SuppressedWarnings.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/bcel/LazyClassGen.java,0,0.088848106,0,0.125,11,0
1,tests/src/org/aspectj/systemtest/inpath/InPathTests.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/tools/cache/CachedClassReference.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/tools/cache/DefaultCacheKeyResolver.java,0,0.088848106,0,0.125,11,0
1,bcel-builder/src/org/aspectj/apache/bcel/generic/Type.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/bcel/BcelGenericSignatureToTypeXConverter.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/compiler/ast/DeclareDeclaration.java,0,0.088848106,0,0.125,11,0
1,weaver/src/org/aspectj/weaver/tools/cache/CacheBacking.java,0,0.088848106,0,0.125,11,0
1,bcel-builder/src/org/aspectj/apache/bcel/generic/ClassGen.java,0,0.088848106,0,0.125,11,0
1,tests/src/org/aspectj/systemtest/incremental/tools/AjdeInteractionTestbed.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.matcher/src/org/aspectj/weaver/Advice.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.matcher/testsrc/org/aspectj/weaver/patterns/ThisOrTargetTestCase.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/EclipseSourceContext.java,0,0.088848106,0,0.125,11,0
1,org.aspectj.ajdt.core/src/org/aspectj/ajdt/ajc/ConfigParser.java,0,0.088848106,0,0.125,11,0
